Title	Author_Name	Number_Of_Pages	Cover_Image_URL	PDF_Download_URL	Audio_Play_URL	Audio_Download_URL
??? ???? ???? ????? ?	Al Madina-tul-Ilmiyah	44	https://data2.dawateislami.net/Data/Books/Read/ur/2016/1498/bt1498.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2016/1498-1.pdf?fn=naam-kesay-rakhay-jaen		
??? ???? ?? ?????	Al Madina-tul-Ilmiyah	36	https://data2.dawateislami.net/Data/Books/Read/ur/2016/1496/bt1496.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2016/1496-1.pdf?fn=waliullah-ki-pehchan		
?? ?????? ?????	Al Madina-tul-Ilmiyah	220	https://data2.dawateislami.net/Data/Books/Read/ur/2016/1495/bt1495.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2016/1495-1.pdf?fn=dus-islami-aqeeday		
??????? ?? ?????	Al Madina-tul-Ilmiyah	32	https://data2.dawateislami.net/Data/Books/Read/ur/2016/1494/bt1494.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2016/1494-1.pdf?fn=dakuon-ki-wapsi		
???? ????	Al Madina-tul-Ilmiyah	139	https://data2.dawateislami.net/Data/Books/Read/ur/2016/1493/bt1493.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2016/1493-1.pdf?fn=behtar-kon		
??????? ????? ??? ??????? ?? ??????	Al Madina-tul-Ilmiyah	14	https://data2.dawateislami.net/Data/Books/Read/ur/2016/1492/bt1492.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2016/1492-1.pdf?fn=bargah-e-risalat-main-sahabiyat-kay-nazranay		
??? ???? ?? ???? 19 ?????? ??????? ????? ???? ? ???? ?????	Al Madina-tul-Ilmiyah	0	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1491/bt1491.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1491-1.pdf?fn=19-madani-inamaat-baray-umrah-o-safar-e-madinah		
19 ?????? ??????? ????? ?? ? ???? ?????	Al Madina-tul-Ilmiyah	6	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1490/bt1490.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1490-1.pdf?fn=19-madani-inamaat-baraye-hajj-o-safar-e-madinah		
??? ??? ?? ???? (?????? ?? ?????)	Al Madina-tul-Ilmiyah	38	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1489/bt1489.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1489-1.pdf?fn=aik-chup-100-sukh-khamoshi-kay-fazail		
?????? ???? ???? ??? ???????? ????? ???????? ????????	Al Madina-tul-Ilmiyah	53	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1487/bt1487.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1487-1.pdf?fn=faizan-e-hazrat-sabir-pak		
?? ?? ??? ?? ???? ??	Al Madina-tul-Ilmiyah	112	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1483/bt1483.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1483-1.pdf?fn=wo-hum-main-say-nahi		
????? ???? ????	Ameer-e-Ahl-e-Sunnat	29	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1481/bt1481.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1481-1.pdf?fn=mendak-sawar-bicho		
????? ?????? ???? ??? ???????- ??? ????- ???? ?? ?? ??	Mufti Muhammad Qasim Attari	401	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1478/bt1478.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1478-1.pdf?fn=marfatul-quran-jild-2		
???? ?????? ?? ????? ?????? ???-????- ????  ???? ?? ????	Mufti Muhammad Qasim Attari	625	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1448/bt1448.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1448-1.pdf?fn=sirat-ul-jinan-jild-7		
?????? ??????? ?????? ???????? ????? ???????? ????????	Al Madina-tul-Ilmiyah	86	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1445/bt1445.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1445-1.pdf?fn=faizan-e-data-ali-hajveri		
????? ?? ???????? ?? ???	Al Madina-tul-Ilmiyah	11	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1444/bt1444.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1444-1.pdf?fn=maflooj-ki-shifa-yabi-ka-raaz		
??? ?????? ??? ???	Al Madina-tul-Ilmiyah	784	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1440/bt1440.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1440-1.pdf?fn=qoot-ul-quloob-jild-2		
?????? ???????????? ????????? ?????? ???????? ????? ???????? ????????	Al Madina-tul-Ilmiyah	74	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1439/bt1439.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1439-1.pdf?fn=faizan-e-baha-uddin-zakariya-multani		
?????? ????? ? ??? ??	Al Madina-tul-Ilmiyah	0	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1413/bt1413.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1413-1.pdf?fn=bahar-e-shariat-hissa-16		
????? ??? ???? ? ???????	Al Madina-tul-Ilmiyah	0	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1411/bt1411.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1411-1.pdf?fn=aeiay-wudu-karen		
76 ????? ????	Al Madina-tul-Ilmiyah	268	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1408/bt1408.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1408-1.pdf?fn=76-kabira-gunah		
?????? ????? ???? ????	Al Madina-tul-Ilmiyah	58	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1405/bt1405.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1405-1.pdf?fn=madani-mahol-kaisay-mila		
?????? ???? ???? ???? ??? ???? ???? ?????? ????	Al Madina-tul-Ilmiyah	112	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1403/bt1403.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1403-1.pdf?fn=faizan-e-baba-farid-ganj-e-shakar		
12 ???? ?????? ???? ?? ?????? ??????	Al Madina-tul-Ilmiyah	0	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1402/bt1402.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1402-1.pdf?fn=12-roza-madani-course-ki-madani-baharain		
??????? ?? ?????? ??? ?????? ???? ??? ?????? ?????? ???? ????? ???? ?? ??????	Al Madina-tul-Ilmiyah	118	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1394/bt1394.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1394-1.pdf?fn=aarabi-kay-sawalat-aur-arabi-aaqa-kay-jawabat		
???? ???? ???? ?????	Al Madina-tul-Ilmiyah	114	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1392/bt1392.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1392-1.pdf?fn=jaisi-karni-waisi-bharni		
??? ???? ???? ????	Al Madina-tul-Ilmiyah	0	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1391/bt1391.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1391-1.pdf?fn=khushnaseeb-miyan-bevi		
??????? ?????? ?? ???? ????	Majlis-e-Ifta	20	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1385/bt1385.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1385-1.pdf?fn=ijtamae-qurbani-kay-madani-phool		
???? ????? ?? ????? ??? ?	Al Madina-tul-Ilmiyah	514	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1383/bt1383.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1383-1.pdf?fn=allah-walon-ki-batain-jild-4		
???? ????? ?? ????? ??? ?	Al Madina-tul-Ilmiyah	584	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1382/bt1382.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1382-1.pdf?fn=allah-walon-ki-batain-jild-3		
????? ?????? ???? ??? ???????- ??? ??? - ???? ??? ?? ????	Mufti Muhammad Qasim Attari	411	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1379/bt1379.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1379-1.pdf?fn=marifatul-quran-ala-kanzul-irfan-jild-1		
???? ???? ?????	Al Madina-tul-Ilmiyah	28	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1373/bt1373.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1373-1.pdf?fn=miata-aamil-manzom		
????? ?? ????? ?????	Al Madina-tul-Ilmiyah	75	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1371/bt1371.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1371-1.pdf?fn=majosi-ka-qabol-e-islam		
????? ?????? ???? ??? ???????- ??????? ????	Mufti Muhammad Qasim Attari	87	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1367/bt1367.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1367-1.pdf?fn=marifatul-quran-ala-kanzul-irfan-para-5		
???? ?????? ?? ????? ?????? ???-???- ????  ???? ?? ??????	Mufti Muhammad Qasim Attari	726	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1363/bt1363.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1363-1.pdf?fn=sirat-ul-jinan-jild-6		
????? ????	Ameer-e-Ahl-e-Sunnat	48	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1360/bt1360.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1360-1.pdf?fn=bemar-abid		
????? ? ??	Others	0	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1353/bt1353.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1353-1.pdf?fn=para-no-30		
???????? ???????? ? ??	Others	0	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1352/bt1352.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1352-1.pdf?fn=para-no-29		
???? ?????? ????? ? ??	Others	0	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1351/bt1351.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1351-1.pdf?fn=para-no-28		
????? ????? ?????????? ? ??	Others	0	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1350/bt1350.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1350-1.pdf?fn=para-no-27		
???? ? ??	Others	0	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1349/bt1349.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1349-1.pdf?fn=para-no-26		
???????? ??????? ? ??	Others	0	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1348/bt1348.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1348-1.pdf?fn=para-no-25		
?????? ???????? ? ??	Others	0	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1347/bt1347.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1347-1.pdf?fn=para-no-24		
????? ???? ? ??	Others	0	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1346/bt1346.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1346-1.pdf?fn=para-no-23		
?????? ????????? ? ??	Others	0	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1345/bt1345.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1345-1.pdf?fn=para-no-22		
?????? ???? ???????? ? ??	Others	0	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1344/bt1344.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1344-1.pdf?fn=para-no-21		
??????? ?????? ? ??	Others	0	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1343/bt1343.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1343-1.pdf?fn=para-no-20		
?? ????? ?????????? ? ??	Others	0	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1342/bt1342.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1342-1.pdf?fn=para-no-19		
???? ???????? ? ??	Others	0	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1341/bt1341.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1341-1.pdf?fn=para-no18		
?????????? ? ??	Others	0	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1340/bt1340.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1340-1.pdf?fn=para-no-17		
????? ?????? ? ??	Others	0	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1339/bt1339.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1339-1.pdf?fn=para-no-16		
???????? ????????? ? ??	Others	0	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1338/bt1338.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1338-1.pdf?fn=para-no-15		
??????? ? ??	Others	0	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1337/bt1337.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1337-1.pdf?fn=para-no-14		
?????? ????????? ? ??	Others	0	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1336/bt1336.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1336-1.pdf?fn=para-no-13		
????? ???? ????????? ? ??	Others	0	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1335/bt1335.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1335-1.pdf?fn=para-no-12		
?????????????? ? ??	Others	0	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1334/bt1334.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1334-1.pdf?fn=para-no-11		
????????????? ? ??	Others	0	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1333/bt1333.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1333-1.pdf?fn=para-no-10		
????? ????????? ? ?	Others	0	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1332/bt1332.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1332-1.pdf?fn=para-no-9		
?????? ???????? ? ?	Others	0	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1331/bt1331.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1331-1.pdf?fn=para-no-8		
